status,price,bed,bath,acre_lot,full_address,street,city,state,zip_code,house_size,sold_date,year
for_sale,110000.0,7.0,3.0,0.09,"B-2 Monte Elena, Dorado, PR, 00949",B-2 Monte Elena,Dorado,Puerto Rico,949.0,1192.0,2019-06-28,2019
for_sale,950000.0,5.0,4.0,0.99,"46 Water Isle, Saint Thomas, VI, 00802",46 Water Isle,Saint Thomas,Virgin Islands,802.0,5000.0,2013-10-11,2013
for_sale,6899000.0,4.0,6.0,0.83,"10 Water Isle, Saint Thomas, VI, 00802",10 Water Isle,Saint Thomas,Virgin Islands,802.0,4600.0,2018-04-05,2018
for_sale,525000.0,3.0,3.0,0.45,"955 River Rd, Agawam, MA, 01001",955 River Rd,Agawam,Massachusetts,1001.0,2314.0,2014-06-25,2014
for_sale,289900.0,3.0,2.0,0.36,"82 Harvey Johnson Dr, Agawam, MA, 01001",82 Harvey Johnson Dr,Agawam,Massachusetts,1001.0,1276.0,2012-10-12,2012
for_sale,199999.0,3.0,2.0,1.76,"88 South St, Agawam, MA, 01001",88 South St,Agawam,Massachusetts,1001.0,1968.0,2008-09-19,2008
for_sale,419000.0,4.0,2.0,2.0,"57 Amherst Rd, Pelham, MA, 01002",57 Amherst Rd,Pelham,Massachusetts,1002.0,1607.0,2005-07-25,2005
for_sale,275000.0,3.0,2.0,0.16,"5 Bedford Ct Unit 5, Amherst, MA, 01002",5 Bedford Ct Unit 5,Amherst,Massachusetts,1002.0,1280.0,2021-08-19,2021
for_sale,865000.0,4.0,3.0,0.65,"285 Lincoln Ave, Amherst, MA, 01002",285 Lincoln Ave,Amherst,Massachusetts,1002.0,3465.0,2006-10-03,2006
for_sale,650000.0,5.0,4.0,0.64,"10 Bellview Cir, Amherst, MA, 01002",10 Bellview Cir,Amherst,Massachusetts,1002.0,2363.0,2004-07-28,2004
for_sale,975000.0,3.0,4.0,3.04,"1581 S East St, Amherst, MA, 01002",1581 S East St,Amherst,Massachusetts,1002.0,2074.0,2006-06-21,2006
for_sale,439900.0,3.0,2.0,0.2,"34 Berkshire Ter, Amherst, MA, 01002",34 Berkshire Ter,Amherst,Massachusetts,1002.0,1349.0,2005-09-02,2005
for_sale,397000.0,2.0,2.0,0.51,"43 Forge Pond Rd, Granby, MA, 01033",43 Forge Pond Rd,Granby,Massachusetts,1033.0,2000.0,2001-12-13,2001
for_sale,459900.0,4.0,3.0,3.8,"113 Russell St, Sunderland, MA, 01375",113 Russell St,Sunderland,Massachusetts,1375.0,2768.0,2009-07-17,2009
for_sale,324900.0,4.0,2.0,0.56,"32 Pleasant St, Granby, MA, 01033",32 Pleasant St,Granby,Massachusetts,1033.0,1523.0,2007-09-19,2007
for_sale,364900.0,3.0,2.0,1.02,"600 Amherst Rd, Belchertown, MA, 01007",600 Amherst Rd,Belchertown,Massachusetts,1007.0,1617.0,2001-10-05,2001
for_sale,240000.0,2.0,1.0,0.28,"68 Blanchwood Ave, Chicopee, MA, 01013",68 Blanchwood Ave,Chicopee,Massachusetts,1013.0,1207.0,2011-11-29,2011
for_sale,299500.0,3.0,2.0,0.11,"11 N Arthur St, Ludlow, MA, 01056",11 N Arthur St,Ludlow,Massachusetts,1056.0,2240.0,2000-10-03,2000
for_sale,469900.0,3.0,3.0,1.82,"28 Warwick Rd, Orange, MA, 01364",28 Warwick Rd,Orange,Massachusetts,1364.0,2096.0,2000-06-30,2000
for_sale,295000.0,4.0,2.0,0.3,"29 Maple St, South Hadley, MA, 01075",29 Maple St,South Hadley,Massachusetts,1075.0,2112.0,2001-05-24,2001
for_sale,339000.0,6.0,2.0,0.23,"27 Morgan St, Holyoke, MA, 01040",27 Morgan St,Holyoke,Massachusetts,1040.0,2399.0,2017-09-05,2017
for_sale,275000.0,2.0,2.0,0.05,"34 Myrtle St, Chicopee, MA, 01013",34 Myrtle St,Chicopee,Massachusetts,1013.0,1200.0,2002-06-12,2002
